alias,canonical
101Rh,Rh-101
101rh,Rh-101
102Rh,Rh-102
102Rh(m),Rh-102m
102RhM,Rh-102m
102Rhm,Rh-102m
102rh,Rh-102
102rh(m),Rh-102m
102rhm,Rh-102m
103Pd,Pd-103
103Rh(m),Rh-103m
103RhM,Rh-103m
103Rhm,Rh-103m
103Ru,Ru-103
103pd,Pd-103
103rh(m),Rh-103m
103rhm,Rh-103m
103ru,Ru-103
105Ag,Ag-105
105Rh,Rh-105
105Ru,Ru-105
105ag,Ag-105
105rh,Rh-105
105ru,Ru-105
107Pd,Pd-107
107pd,Pd-107
109Cd,Cd-109
109Pd,Pd-109
109cd,Cd-109
109pd,Pd-109
10Be,Be-10
10be,Be-10
110Ag(m),Ag-110m
110AgM,Ag-110m
110Agm,Ag-110m
110ag(m),Ag-110m
110agm,Ag-110m
111Ag,Ag-111
111In,In-111
111ag,Ag-111
111in,In-111
113Cd(m),Cd-113m
113CdM,Cd-113m
113Cdm,Cd-113m
113In(m),In-113m
113InM,In-113m
113Inm,In-113m
113Sn,Sn-113
113cd(m),Cd-113m
113cdm,Cd-113m
113in(m),In-113m
113inm,In-113m
113sn,Sn-113
114In(m),In-114m
114InM,In-114m
114Inm,In-114m
114in(m),In-114m
114inm,In-114m
115Cd,Cd-115
115Cd(m),Cd-115m
115CdM,Cd-115m
115Cdm,Cd-115m
115In(m),In-115m
115InM,In-115m
115Inm,In-115m
115cd,Cd-115
115cd(m),Cd-115m
115cdm,Cd-115m
115in(m),In-115m
115inm,In-115m
117Sn(m),Sn-117m
117SnM,Sn-117m
117Snm,Sn-117m
117sn(m),Sn-117m
117snm,Sn-117m
119Sn(m),Sn-119m
119SnM,Sn-119m
119Snm,Sn-119m
119sn(m),Sn-119m
119snm,Sn-119m
11C,C-11
11c,C-11
121Sn(m),Sn-121m
121SnM,Sn-121m
121Snm,Sn-121m
121Te,Te-121
121Te(m),Te-121m
121TeM,Te-121m
121Tem,Te-121m
121sn(m),Sn-121m
121snm,Sn-121m
121te,Te-121
121te(m),Te-121m
121tem,Te-121m
122Sb,Sb-122
122Xe,Xe-122
122sb,Sb-122
122xe,Xe-122
123I,I-123
123Sn,Sn-123
123Te(m),Te-123m
123TeM,Te-123m
123Tem,Te-123m
123Xe,Xe-123
123i,I-123
123sn,Sn-123
123te(m),Te-123m
123tem,Te-123m
123xe,Xe-123
124I,I-124
124Sb,Sb-124
124i,I-124
124sb,Sb-124
125I,I-125
125Sb,Sb-125
125Sn,Sn-125
125Te(m),Te-125m
125TeM,Te-125m
125Tem,Te-125m
125i,I-125
125sb,Sb-125
125sn,Sn-125
125te(m),Te-125m
125tem,Te-125m
126I,I-126
126Sb,Sb-126
126Sn,Sn-126
126i,I-126
126sb,Sb-126
126sn,Sn-126
127Te,Te-127
127Te(m),Te-127m
127TeM,Te-127m
127Tem,Te-127m
127Xe,Xe-127
127te,Te-127
127te(m),Te-127m
127tem,Te-127m
127xe,Xe-127
129Cs,Cs-129
129I,I-129
129Te,Te-129
129Te(m),Te-129m
129TeM,Te-129m
129Tem,Te-129m
129cs,Cs-129
129i,I-129
129te,Te-129
129te(m),Te-129m
129tem,Te-129m
131Ba,Ba-131
131Cs,Cs-131
131I,I-131
131Te(m),Te-131m
131TeM,Te-131m
131Tem,Te-131m
131Xe(m),Xe-131m
131XeM,Xe-131m
131Xem,Xe-131m
131ba,Ba-131
